Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:00:00,,,,,,,,,,,,,,-0.003366667,-0.005966667,-0.013966667,-0.010966667,-0.046666667,-0.008566667,-0.005566667,,,,,,-0.003466667,-0.002266667,-0.000566667,-0.006266667,-0.002866667,-0.008266667,-0.005466667,,,,,,-0.004566667,-0.002766667,-0.000966667,-0.001766667,-0.003966667,-0.006566667,-0.004366667,,,,,,-0.004866667,-0.003966667,-0.007166667,-0.004166667,-0.002366667,-0.008266667,-0.000866667,,,,,,-0.005666667,-0.007166667,-0.000666667,-0.000466667,0.000333333,-0.005166667,0.003533333,,,,,,-0.003966667,0.049633333,-0.002866667,-0.001066667,-0.004266667,-0.001666667,-0.002666667,,,,,,,,,,,,,,,,
0:59:57,,,,,,,,,,,,,,-0.0025,-0.0053,-0.0136,-0.0105,-0.0461,-0.008,-0.0055,,,,,,-0.0028,-0.0017,0.0003,-0.0056,-0.0022,-0.0076,-0.005,,,,,,-0.0037,-0.0026,-0.0003,-0.0009,-0.0031,-0.0059,-0.0039,,,,,,-0.0042,-0.003,-0.0066,-0.0033,-0.0025,-0.0078,-0.0004,,,,,,-0.0042,-0.0057,2.78E-17,-1.00E-04,0.0014,-0.0046,0.0024,,,,,,-0.0026,-0.0489,-0.0019,-0.0006,-0.0037,-0.0011,-0.002,,,,,,,,,,,,,,,,
1:59:56,,,,,,,,,,,,,,-0.002466667,-0.004866667,-0.013566667,-0.010466667,-0.046366667,-0.007466667,-0.005066667,,,,,,-0.002766667,-0.001466667,0.000133333,-0.005166667,-0.002066667,-0.007266667,-0.004766667,,,,,,-0.003466667,-0.001966667,0.000133333,-0.000566667,-0.002766667,-0.005466667,-0.003766667,,,,,,-0.003466667,-0.002366667,-0.006266667,-0.002966667,-0.001866667,-0.007466667,-0.000366667,,,,,,-0.003766667,-0.005066667,0.000333333,0.000133333,0.001633333,-0.004366667,0.002433333,,,,,,-0.002766667,-0.047766667,-0.001466667,-0.000366667,-0.003266667,-0.000766667,-0.002066667,,,,,,,,,,,,,,,,
3:00:00,,,,,,,,,,,,,,-0.002266667,-0.004866667,-0.013566667,-0.009666667,-0.046166667,-0.007466667,-0.005266667,,,,,,-0.002266667,-0.000766667,0.000833333,-0.004266667,-0.001466667,-0.006066667,-0.004366667,,,,,,-0.002966667,-0.001466667,0.000733333,-6.67E-05,-0.002166667,-0.004766667,-0.003166667,,,,,,-0.003266667,-0.001866667,-0.005566667,-0.002466667,-0.001666667,-0.007466667,0.000133333,,,,,,-0.003566667,-0.004566667,0.001033333,0.000533333,0.002333333,-0.003766667,0.002133333,,,,,,-0.002066667,-0.047266667,-0.001266667,0.000233333,-0.002366667,3.33E-05,-0.002266667,,,,,,,,,,,,,,,,
4:00:00,,,,,,,,,,,,,,-0.001966667,-0.004866667,-0.013466667,-0.009666667,-0.045666667,-0.007066667,-0.005366667,,,,,,-0.002066667,-0.000266667,0.001633333,-0.003466667,-0.000866667,-0.006166667,-0.004666667,,,,,,-0.002466667,-0.000866667,0.001233333,0.001233333,-0.001566667,-0.003866667,-0.003066667,,,,,,-0.002766667,-0.001366667,-0.004966667,-0.001766667,-0.000566667,-0.006766667,0.000133333,,,,,,-0.003466667,-0.003966667,0.001733333,0.000633333,0.003433333,-0.003466667,0.002133333,,,,,,-0.001866667,-0.046866667,-0.000666667,0.000733333,-0.001666667,-6.67E-05,-0.002266667,,,,,,,,,,,,,,,,
5:00:00,,,,,,,,,,,,,,-0.0015,-0.0044,-0.013,-0.0086,-0.0451,-0.0058,-0.0051,,,,,,-0.0017,0.0003,0.0025,-0.0021,-0.0003,-0.0053,-0.0043,,,,,,-0.0017,0.0003,0.0023,0.0033,-0.0003,-0.0029,-0.0027,,,,,,-0.0021,0.0003,-0.0038,-0.0007,0.0008,-0.006,0.0004,,,,,,-0.0027,-0.003,0.0026,0.0014,0.0046,-0.0029,0.0022,,,,,,-0.0014,-0.046,-2.78E-17,0.0014,-0.0004,0.0004,-0.0026,,,,,,,,,,,,,,,,
6:00:00,,,,,,,,,,,,,,-0.001566667,-0.004066667,-0.012566667,-0.006166667,-0.044166667,-0.004066667,-0.005066667,,,,,,-0.001266667,0.000433333,0.002733333,3.33E-05,0.001033333,-0.002766667,-0.004366667,,,,,,-0.001566667,0.000333333,0.002933333,0.005533333,0.001333333,-0.000866667,-0.002666667,,,,,,-0.001366667,0.001333333,-0.003066667,-6.67E-05,0.002233333,-0.005466667,0.000433333,,,,,,-0.001966667,-0.002166667,0.003233333,0.001933333,0.006233333,-0.002666667,0.001833333,,,,,,-0.001166667,-0.045066667,0.000533333,0.001633333,0.001333333,0.000833333,-0.002266667,,,,,,,,,,,,,,,,
7:00:00,,,,,,,,,,,,,,-0.0014,-0.0041,-0.0126,-0.0027,-0.0419,-0.0009,-0.0053,,,,,,-0.0009,0.0011,0.0031,0.0034,0.0034,0.0013,-0.0043,,,,,,-0.0009,0.001,0.0036,0.0098,0.0044,0.0034,-0.0024,,,,,,-0.001,0.0031,-0.0023,0.0003,0.0043,-0.0053,0.0005,,,,,,-0.0017,-0.0008,0.0039,0.0023,0.0092,-0.0025,0.0018,,,,,,-0.0008,-0.0442,0.0009,0.0022,0.0046,0.0012,-0.0023,,,,,,,,,,,,,,,,
7:59:59,,,,,,,,,,,,,,-0.0008,-0.0036,-0.0122,0.0027,-0.0376,0.0051,-0.0052,,,,,,-0.0005,0.0016,0.0038,0.0095,0.0065,0.0081,-0.0039,,,,,,-0.0004,0.0016,0.0042,0.0161,0.009,0.0105,-0.0022,,,,,,-0.0001,0.0057,-0.0012,0.0011,0.008,-0.0049,0.0005,,,,,,-0.0011,0.002,0.0051,0.0032,0.0136,-0.0018,0.0019,,,,,,-0.0002,-0.042,0.0023,0.0032,0.0105,0.0016,-0.0024,,,,,,,,,,,,,,,,
9:00:00,,,,,,,,,,,,,,-0.000633333,-0.003433333,-0.012233333,0.010966667,-0.030833333,0.014766667,-0.005133333,,,,,,-0.000233333,0.002166667,0.004166667,0.017166667,0.011566667,0.018966667,-0.003933333,,,,,,0.000166667,0.002066667,0.004766667,0.025666667,0.016066667,0.021466667,-0.002233333,,,,,,0.000166667,0.009766667,0.000366667,0.002066667,0.013266667,-0.004533333,0.000666667,,,,,,-0.000533333,0.005366667,0.006666667,0.004266667,0.019966667,-0.001433333,0.001766667,,,,,,0.000366667,-0.039033333,0.002666667,0.004066667,0.017966667,0.001766667,-0.002433333,,,,,,,,,,,,,,,,
